Provider;Location;Device;Aggregate Date;Test Count;Sample Count;Platform;Technology Type;Metric Type;Device Count;Latency;Download Speed;Upload Speed;Download Speed Mbps;Upload Speed Mbps
All Providers Combined;Tolima, Colombia;;may-22;2239;729;N/A;cellular;mean;729;50;16599;9761;16.60;9.76
All Providers Combined;Valle del Cauca, Colombia;;may-22;10733;3959;N/A;cellular;mean;3959;53;20421;11117;20.42;11.12
All Providers Combined;Vaupes, Colombia;;may-22;16;9;N/A;cellular;mean;9;305;2362;5759;2.36;5.76
All Providers Combined;Vichada, Colombia;;may-22;54;18;N/A;cellular;mean;18;200;10087;4784;10.09;4.78
All Providers Combined;Guaviare, Colombia;;may-22;164;56;N/A;cellular;mean;56;75;14244;10420;14.24;10.42
All Providers Combined;Amazonas, Colombia;;jun-22;74;28;N/A;cellular;mean;28;361;3790;4306;3.79;4.31
All Providers Combined;Antioquia, Colombia;;jun-22;16358;6002;N/A;cellular;mean;6002;46;18383;11187;18.38;11.19
All Providers Combined;Arauca, Colombia;;jun-22;402;117;N/A;cellular;mean;117;64;17325;9019;17.33;9.02
All Providers Combined;Atlantico, Colombia;;jun-22;8050;2878;N/A;cellular;mean;2878;42;18447;12066;18.45;12.07
All Providers Combined;Bogota, Colombia;;jun-22;37019;13460;N/A;cellular;mean;13460;38;19844;12217;19.84;12.22
All Providers Combined;Bolivar, Colombia;;jun-22;2580;975;N/A;cellular;mean;975;53;18867;11301;18.87;11.30
All Providers Combined;Boyaca, Colombia;;jun-22;2702;829;N/A;cellular;mean;829;55;14398;9450;14.40;9.45
All Providers Combined;Caldas, Colombia;;jun-22;1571;615;N/A;cellular;mean;615;55;16050;11337;16.05;11.34
All Providers Combined;Caquetá, Colombia;;jun-22;726;177;N/A;cellular;mean;177;62;14357;9080;14.36;9.08
All Providers Combined;Casanare, Colombia;;jun-22;1070;285;N/A;cellular;mean;285;63;15895;10656;15.90;10.66
All Providers Combined;Cauca Department, Colombia;;jun-22;1567;421;N/A;cellular;mean;421;78;12776;10090;12.78;10.09
All Providers Combined;Cesar, Colombia;;jun-22;1448;430;N/A;cellular;mean;430;47;16733;10692;16.73;10.69
All Providers Combined;Choco, Colombia;;jun-22;409;108;N/A;cellular;mean;108;76;11897;8272;11.90;8.27
All Providers Combined;Cordoba, Colombia;;jun-22;1840;550;N/A;cellular;mean;550;62;18445;10767;18.45;10.77
All Providers Combined;Cundinamarca, Colombia;;jun-22;7908;2861;N/A;cellular;mean;2861;47;14561;10220;14.56;10.22
All Providers Combined;Guainia, Colombia;;jun-22;49;18;N/A;cellular;mean;18;271;5397;4602;5.40;4.60
All Providers Combined;Huila, Colombia;;jun-22;1351;497;N/A;cellular;mean;497;58;16185;10069;16.19;10.07
All Providers Combined;La Guajira, Colombia;;jun-22;1548;282;N/A;cellular;mean;282;62;13381;9491;13.38;9.49
All Providers Combined;Magdalena, Colombia;;jun-22;1520;555;N/A;cellular;mean;555;52;20289;12312;20.29;12.31
All Providers Combined;Meta, Colombia;;jun-22;1773;689;N/A;cellular;mean;689;46;15781;9923;15.78;9.92
All Providers Combined;Narino, Colombia;;jun-22;1340;418;N/A;cellular;mean;418;71;16399;11264;16.40;11.26
All Providers Combined;North Santander, Colombia;;jun-22;2577;732;N/A;cellular;mean;732;61;13977;10317;13.98;10.32
All Providers Combined;Putumayo, Colombia;;jun-22;408;126;N/A;cellular;mean;126;118;12154;8314;12.15;8.31
