place_name,aggregate_date,isp_name,total_samples,consistency_broadband,consistency_ultra_broadband
Armenia,2019-06-01T00:00:00Z,Tigo,1181,0.065198983911939,0.00846740050804403
Armenia,2019-06-01T00:00:00Z,Movistar,360,0.0444444444444444,0.00833333333333333
Armenia,2019-07-01T00:00:00Z,Tigo,1050,0.0619047619047619,0.00571428571428571
Armenia,2019-07-01T00:00:00Z,All providers combined,2989,0.1197724991636,0.00602208096353295
Armenia,2019-07-01T00:00:00Z,ETB,8,0.125,0
Armenia,2019-07-01T00:00:00Z,Movistar,322,0.0962732919254658,0.0279503105590062
Armenia,2019-07-01T00:00:00Z,Claro,1609,0.162212554381603,0.00186451211932877
Armenia,2019-08-01T00:00:00Z,All providers combined,2616,0.157110091743119,0.00726299694189602
Armenia,2019-08-01T00:00:00Z,Movistar,192,0.0520833333333333,0.015625
Armenia,2019-08-01T00:00:00Z,ETB,8,0,0
Armenia,2019-08-01T00:00:00Z,Tigo,777,0.106821106821107,0.018018018018018
Armenia,2019-08-01T00:00:00Z,Claro,1639,0.194020744356315,0.0012202562538133
Armenia,2019-09-01T00:00:00Z,ETB,2,0,0
Armenia,2019-09-01T00:00:00Z,Claro,1552,0.20360824742268,0.00386597938144329
Armenia,2019-09-01T00:00:00Z,All providers combined,2556,0.158450704225352,0.0043035993740219
Armenia,2019-09-01T00:00:00Z,Tigo,815,0.103067484662577,0.00490797546012269
Armenia,2019-09-01T00:00:00Z,Movistar,187,0.0267379679144385,0.0053475935828877
Armenia,2019-10-01T00:00:00Z,All providers combined,3450,0.191594202898551,0.00289855072463768
Armenia,2019-10-01T00:00:00Z,Movistar,209,0.0382775119617225,0.0287081339712919
Armenia,2019-10-01T00:00:00Z,Claro,1940,0.272680412371134,0.00103092783505154
Armenia,2019-10-01T00:00:00Z,Tigo,1300,0.0953846153846154,0.00153846153846153
Armenia,2019-10-01T00:00:00Z,ETB,1,0,0
Armenia,2019-11-01T00:00:00Z,Claro,1915,0.377023498694517,0.0073107049608355
Armenia,2019-11-01T00:00:00Z,ETB,1,0,0
Armenia,2019-11-01T00:00:00Z,Tigo,1379,0.110224800580131,0.00362581580855692
Armenia,2019-11-01T00:00:00Z,Movistar,161,0.0807453416149068,0.0372670807453416
Armenia,2019-11-01T00:00:00Z,All providers combined,3456,0.256655092592593,0.00723379629629629
Armenia,2019-12-01T00:00:00Z,Claro,1945,0.348586118251928,0.00925449871465295
Armenia,2019-12-01T00:00:00Z,All providers combined,3540,0.248022598870056,0.00734463276836158
Armenia,2019-12-01T00:00:00Z,Movistar,164,0.024390243902439,0.00609756097560975
Armenia,2019-12-01T00:00:00Z,Tigo,1431,0.13696715583508,0.00489168413696715
Armenia,2020-01-01T00:00:00Z,Claro,1819,0.389224848818032,0.00714678394722374
Armenia,2020-01-01T00:00:00Z,ETB,1,0,0
Armenia,2020-01-01T00:00:00Z,All providers combined,3380,0.267159763313609,0.00769230769230769
Armenia,2020-01-01T00:00:00Z,Tigo,1369,0.137326515704894,0.00803506208911614
Armenia,2020-01-01T00:00:00Z,Movistar,191,0.0366492146596859,0.0104712041884817
Armenia,2020-02-01T00:00:00Z,ETB,2,0.5,0.5
Armenia,2020-02-01T00:00:00Z,Claro,2016,0.495535714285714,0.0104166666666667
Armenia,2020-02-01T00:00:00Z,Movistar,157,0.0445859872611465,0.0127388535031847
Armenia,2020-02-01T00:00:00Z,Tigo,1539,0.204028589993502,0.0175438596491228
Armenia,2020-02-01T00:00:00Z,All providers combined,3714,0.355681206246634,0.0137318255250404
Armenia,2020-03-01T00:00:00Z,Claro,3041,0.394607037158829,0.00394607037158829
Armenia,2020-03-01T00:00:00Z,Tigo,2351,0.156529136537644,0.00382815823054019
Armenia,2020-03-01T00:00:00Z,All providers combined,5581,0.282565848414263,0.0048378426805232
Armenia,2020-03-01T00:00:00Z,Movistar,187,0.0427807486631016,0.0267379679144385
Armenia,2020-03-01T00:00:00Z,ETB,2,0.5,0.5
Armenia,2020-04-01T00:00:00Z,Claro,2930,0.315699658703072,0.0030716723549488
Armenia,2020-04-01T00:00:00Z,Movistar,238,0.0714285714285714,0.0546218487394958
Armenia,2020-04-01T00:00:00Z,Tigo,2218,0.174030658250676,0.00405770964833183
Armenia,2020-04-01T00:00:00Z,All providers combined,5387,0.246705030629293,0.00594022647113421
Armenia,2020-04-01T00:00:00Z,ETB,1,1,1
Armenia,2020-05-01T00:00:00Z,Movistar,193,0.0259067357512953,0.0155440414507772
Armenia,2020-05-01T00:00:00Z,Tigo,2167,0.231656668204892,0.00922934933087217
Armenia,2020-05-01T00:00:00Z,ETB,4,0.5,0.5
Armenia,2020-05-01T00:00:00Z,Claro,2527,0.433320142461417,0.00316580925999208
Armenia,2020-05-01T00:00:00Z,All providers combined,4891,0.327949294622776,0.00674708648538131
Armenia,2020-06-01T00:00:00Z,Movistar,192,0.0364583333333333,0.0208333333333333
Armenia,2020-06-01T00:00:00Z,Claro,2646,0.476946334089191,0.0109599395313681
Armenia,2020-06-01T00:00:00Z,Tigo,2254,0.267080745341615,0.0119787045252884
Armenia,2020-06-01T00:00:00Z,All providers combined,5092,0.367439120188531,0.011783189316575
Armenia,2020-07-01T00:00:00Z,Movistar,166,0.0240963855421687,0
Armenia,2020-07-01T00:00:00Z,Claro,2749,0.527100763914151,0.0101855220080029
Armenia,2020-07-01T00:00:00Z,ETB,1,0,0
Armenia,2020-07-01T00:00:00Z,All providers combined,5420,0.384317343173432,0.0095940959409594
Armenia,2020-07-01T00:00:00Z,Tigo,2504,0.251597444089457,0.00958466453674121
Armenia,2020-08-01T00:00:00Z,All providers combined,5220,0.397701149425287,0.00708812260536398
Armenia,2020-08-01T00:00:00Z,Claro,2680,0.5,0.00373134328358208
Armenia,2020-08-01T00:00:00Z,Tigo,2352,0.309948979591837,0.0102040816326531
