Provider;Location;Device;Aggregate Date;Test Count;Sample Count;Platform;Technology Type;Metric Type;User Count;Latency;Download Speed;Upload Speed;Download Speed Mbps;Upload Speed Mbps
All Providers Combined;Quindio, Colombia;;sep-20;29778;6942;all;N/A;mean;6942;38;28670;6569;28.67;6.57
All Providers Combined;Risaralda, Colombia;;sep-20;94014;23470;all;N/A;mean;23470;36;30861;9547;30.86;9.55
All Providers Combined;San Andrés and Providencia, Colombia;;sep-20;386;117;all;N/A;mean;117;75;5235;6421;5.24;6.42
All Providers Combined;Santander Department, Colombia;;sep-20;204680;49396;all;N/A;mean;49396;38;39676;23693;39.68;23.69
All Providers Combined;Sucre, Colombia;;sep-20;13785;3790;all;N/A;mean;3790;43;20865;7638;20.87;7.64
All Providers Combined;Tolima, Colombia;;sep-20;48248;13170;all;N/A;mean;13170;45;31720;19386;31.72;19.39
All Providers Combined;Valle del Cauca, Colombia;;sep-20;302165;77619;all;N/A;mean;77619;34;41166;23756;41.17;23.76
All Providers Combined;Vichada, Colombia;;sep-20;14;6;all;N/A;mean;6;63;2051;2034;2.05;2.03
All Providers Combined;Guaviare, Colombia;;sep-20;475;65;all;N/A;mean;65;33;9419;5452;9.42;5.45
All Providers Combined;Amazonas, Colombia;;oct-20;33;19;all;N/A;mean;19;266;2116;2973;2.12;2.97
All Providers Combined;Antioquia, Colombia;;oct-20;403316;115255;all;N/A;mean;115255;30;38048;12669;38.05;12.67
All Providers Combined;Arauca, Colombia;;oct-20;1444;365;all;N/A;mean;365;75;7978;5708;7.98;5.71
All Providers Combined;Atlantico, Colombia;;oct-20;115394;34275;all;N/A;mean;34275;39;37831;20540;37.83;20.54
All Providers Combined;Bogota, Colombia;;oct-20;994579;283301;all;N/A;mean;283301;23;46320;20532;46.32;20.53
All Providers Combined;Bolivar, Colombia;;oct-20;61850;15799;all;N/A;mean;15799;38;35296;21415;35.30;21.42
All Providers Combined;Boyaca, Colombia;;oct-20;42699;10455;all;N/A;mean;10455;34;25169;10697;25.17;10.70
All Providers Combined;Caldas, Colombia;;oct-20;62342;13995;all;N/A;mean;13995;40;29246;8405;29.25;8.41
All Providers Combined;Caquetá, Colombia;;oct-20;7158;1577;all;N/A;mean;1577;42;21947;11322;21.95;11.32
All Providers Combined;Casanare, Colombia;;oct-20;13196;3143;all;N/A;mean;3143;32;26734;6987;26.73;6.99
All Providers Combined;Cauca Department, Colombia;;oct-20;44907;11022;all;N/A;mean;11022;41;26751;11577;26.75;11.58
All Providers Combined;Cesar, Colombia;;oct-20;35056;7809;all;N/A;mean;7809;45;30149;16686;30.15;16.69
All Providers Combined;Choco, Colombia;;oct-20;2174;486;all;N/A;mean;486;86;12629;8502;12.63;8.50
All Providers Combined;Cordoba, Colombia;;oct-20;34115;8484;all;N/A;mean;8484;42;27744;16373;27.74;16.37
All Providers Combined;Cundinamarca, Colombia;;oct-20;182701;52730;all;N/A;mean;52730;29;38174;18257;38.17;18.26
All Providers Combined;Guainia, Colombia;;oct-20;1;1;all;N/A;mean;1;65;51037;8231;51.04;8.23
All Providers Combined;Huila, Colombia;;oct-20;45626;12186;all;N/A;mean;12186;42;25565;14221;25.57;14.22
All Providers Combined;La Guajira, Colombia;;oct-20;7818;2177;all;N/A;mean;2177;56;25066;9192;25.07;9.19
All Providers Combined;Magdalena, Colombia;;oct-20;52577;15442;all;N/A;mean;15442;39;36590;14016;36.59;14.02
All Providers Combined;Meta, Colombia;;oct-20;37044;9814;all;N/A;mean;9814;30;32608;14009;32.61;14.01
All Providers Combined;Narino, Colombia;;oct-20;37893;9692;all;N/A;mean;9692;44;28473;14081;28.47;14.08
