Provider;Location;Device;Aggregate Date;Test Count;Sample Count;Platform;Technology Type;Metric Type;Device Count;Minimum Latency;Multi-Server Latency;Multi-Server Jitter;Download Speed;Upload Speed;Download Speed Mbps;Upload Speed Mbps
All Providers Combined;Sucre, Colombia;;Apr 2022;1265;397;N/A;cellular;median;397;52;1.013.871;158.041;10467;8636;10.47;8.64
All Providers Combined;Tolima, Colombia;;Apr 2022;2902;980;N/A;cellular;median;980;36;59.656;161.646;10050;6554;10.05;6.55
All Providers Combined;Valle del Cauca, Colombia;;Apr 2022;11609;3950;N/A;cellular;median;3950;40;590.197;127.661;12908;9381;12.91;9.38
All Providers Combined;Vaupes, Colombia;;Apr 2022;18;8;N/A;cellular;median;8;107;6.403.542;2.363.024;2371;1798;2.37;1.80
All Providers Combined;Vichada, Colombia;;Apr 2022;34;11;N/A;cellular;median;11;74;1.594.343;407.535;2567;4016;2.57;4.02
All Providers Combined;Guaviare, Colombia;;Apr 2022;184;49;N/A;cellular;median;49;42;58.47;156.418;11598;9072;11.60;9.07
All Providers Combined;Amazonas, Colombia;;may-22;173;49;N/A;cellular;median;49;187;3.336.993;984.005;1592;2763;1.59;2.76
All Providers Combined;Antioquia, Colombia;;may-22;19989;6752;N/A;cellular;median;6752;36;652.406;154.619;11011;8639;11.01;8.64
All Providers Combined;Arauca, Colombia;;may-22;309;115;N/A;cellular;median;115;51;901.052;200.536;8078;7292;8.08;7.29
All Providers Combined;Atlantico, Colombia;;may-22;8860;3110;N/A;cellular;median;3110;31;834.206;165.637;11421;9922;11.42;9.92
All Providers Combined;Bogota, Colombia;;may-22;44889;15726;N/A;cellular;median;15726;28;440.168;128.495;12542;9722;12.54;9.72
All Providers Combined;Bolivar, Colombia;;may-22;2684;944;N/A;cellular;median;944;35;854.151;157.771;12676;9523;12.68;9.52
All Providers Combined;Boyaca, Colombia;;may-22;2394;826;N/A;cellular;median;826;36;574.741;154.004;10765;7917;10.77;7.92
All Providers Combined;Caldas, Colombia;;may-22;1955;660;N/A;cellular;median;660;47;690.892;12.93;11287;8308;11.29;8.31
All Providers Combined;Caquetá, Colombia;;may-22;814;233;N/A;cellular;median;233;48;723.198;270.129;6357;5907;6.36;5.91
All Providers Combined;Casanare, Colombia;;may-22;1088;317;N/A;cellular;median;317;35;545.699;180.122;9797;8060;9.80;8.06
All Providers Combined;Cauca Department, Colombia;;may-22;1435;505;N/A;cellular;median;505;45;706.204;159.724;8899;7166;8.90;7.17
All Providers Combined;Cesar, Colombia;;may-22;1677;477;N/A;cellular;median;477;39;905.638;182.844;11389;8492;11.39;8.49
All Providers Combined;Choco, Colombia;;may-22;586;138;N/A;cellular;median;138;57;946.008;204.871;4785;4955;4.79;4.96
All Providers Combined;Cordoba, Colombia;;may-22;2064;528;N/A;cellular;median;528;47;910.412;192.472;11456;8949;11.46;8.95
All Providers Combined;Cundinamarca, Colombia;;may-22;8170;3157;N/A;cellular;median;3157;30;467.582;149.669;8697;7080;8.70;7.08
All Providers Combined;Guainia, Colombia;;may-22;44;11;N/A;cellular;median;11;148;3.350.464;1.834.456;942;2267;0.94;2.27
All Providers Combined;Huila, Colombia;;may-22;1535;539;N/A;cellular;median;539;40;66.284;213.584;11177;6754;11.18;6.75
All Providers Combined;La Guajira, Colombia;;may-22;1325;310;N/A;cellular;median;310;40;1.126.327;190.573;8699;8183;8.70;8.18
All Providers Combined;Magdalena, Colombia;;may-22;1620;598;N/A;cellular;median;598;37;889.575;167.902;13800;9681;13.80;9.68
All Providers Combined;Meta, Colombia;;may-22;1939;727;N/A;cellular;median;727;35;545.446;175.022;9816;8126;9.82;8.13
All Providers Combined;Narino, Colombia;;may-22;1669;477;N/A;cellular;median;477;53;811.283;171.935;11226;8546;11.23;8.55
All Providers Combined;North Santander, Colombia;;may-22;2606;799;N/A;cellular;median;799;48;823.713;189.131;9803;8670;9.80;8.67
All Providers Combined;Putumayo, Colombia;;may-22;608;125;N/A;cellular;median;125;61;898.582;35.2;6715;5690;6.72;5.69
All Providers Combined;Quindio, Colombia;;may-22;1122;406;N/A;cellular;median;406;48;698.808;11.872;14043;8043;14.04;8.04
All Providers Combined;Risaralda, Colombia;;may-22;2112;728;N/A;cellular;median;728;42;663.392;117.853;11591;8491;11.59;8.49
All Providers Combined;San Andrés and Providencia, Colombia;;may-22;947;228;N/A;cellular;median;228;64;1.540.314;158.224;11730;7262;11.73;7.26
All Providers Combined;Santander Department, Colombia;;may-22;6499;1741;N/A;cellular;median;1741;48;90.728;202.141;10430;8357;10.43;8.36
All Providers Combined;Sucre, Colombia;;may-22;1243;355;N/A;cellular;median;355;49;932.474;162.178;11708;7806;11.71;7.81
All Providers Combined;Tolima, Colombia;;may-22;2239;729;N/A;cellular;median;729;35;55.4;197.449;11422;7274;11.42;7.27
All Providers Combined;Valle del Cauca, Colombia;;may-22;10733;3959;N/A;cellular;median;3959;41;595.628;122.012;13058;9018;13.06;9.02
All Providers Combined;Vaupes, Colombia;;may-22;16;9;N/A;cellular;median;9;112;1.332.617;321.265;2537;2451;2.54;2.45
All Providers Combined;Vichada, Colombia;;may-22;54;18;N/A;cellular;median;18;81;1.676.779;688.513;5637;3492;5.64;3.49
