Provider;Location;Device;Aggregate Date;Test Count;Sample Count;Platform;Technology Type;Metric Type;User Count;Minimum Latency;Download Speed;Upload Speed;Download Speed Mbps;Upload Speed Mbps;Multi-Server Latency;Multi-Server Jitter,
Movistar;Atlantico, Colombia;;mar-18;1253.0;728.0;all;;median;478.0;70.0;4301.0;726.0;4.3;0.73;;
Movistar;Bogota, Colombia;;mar-18;36773.0;22062.0;all;;median;11474.0;31.0;6455.0;883.0;6.46;0.88;;
Movistar;Bolivar, Colombia;;mar-18;3156.0;1849.0;all;;median;1001.0;63.0;7411.0;964.0;7.41;0.96;;
Movistar;Boyaca, Colombia;;mar-18;3457.0;2168.0;all;;median;798.0;36.0;4590.0;898.0;4.59;0.9;;
Movistar;Caldas, Colombia;;mar-18;695.0;421.0;all;;median;145.0;35.0;4754.0;850.0;4.75;0.85;;
Movistar;Caquetá, Colombia;;mar-18;1053.0;647.0;all;;median;180.0;51.0;4265.0;825.0;4.27;0.83;;
Movistar;Casanare, Colombia;;mar-18;490.0;320.0;all;;median;113.0;40.0;5085.0;872.0;5.09;0.87;;
Movistar;Cauca Department, Colombia;;mar-18;1235.0;741.0;all;;median;445.0;44.0;4330.0;799.0;4.33;0.8;;
Movistar;Cesar, Colombia;;mar-18;1429.0;945.0;all;;median;285.0;66.0;5460.0;879.0;5.46;0.88;;
Movistar;Choco, Colombia;;mar-18;717.0;504.0;all;;median;155.0;51.0;4671.0;755.0;4.67;0.76;;
Movistar;Cordoba, Colombia;;mar-18;2034.0;1283.0;all;;median;523.0;61.0;5362.0;826.0;5.36;0.83;;
Movistar;Cundinamarca, Colombia;;mar-18;30543.0;17892.0;all;;median;10681.0;33.0;5276.0;804.0;5.28;0.8;;
Movistar;Huila, Colombia;;mar-18;3249.0;1726.0;all;;median;734.0;42.0;4893.0;917.0;4.89;0.92;;
Movistar;La Guajira, Colombia;;mar-18;794.0;554.0;all;;median;168.0;66.0;4974.0;826.0;4.97;0.83;;
Movistar;Magdalena, Colombia;;mar-18;3726.0;2432.0;all;;median;1223.0;64.0;5513.0;818.0;5.51;0.82;;
Movistar;Meta, Colombia;;mar-18;3212.0;2006.0;all;;median;621.0;32.0;5118.0;892.0;5.12;0.89;;
Movistar;Narino, Colombia;;mar-18;1769.0;1014.0;all;;median;364.0;46.0;5132.0;859.0;5.13;0.86;;
Movistar;North Santander, Colombia;;mar-18;2.0;2.0;all;;median;2.0;107.0;3830.0;755.0;3.83;0.76;;
Movistar;Putumayo, Colombia;;mar-18;487.0;282.0;all;;median;78.0;49.0;5121.0;951.0;5.12;0.95;;
Movistar;Quindio, Colombia;;mar-18;1715.0;1086.0;all;;median;344.0;41.0;5153.0;897.0;5.15;0.9;;
Movistar;Risaralda, Colombia;;mar-18;330.0;217.0;all;;median;76.0;43.0;3995.0;886.0;4.0;0.89;;
Movistar;San Andrés and Providencia, Colombia;;mar-18;62.0;34.0;all;;median;23.0;187.0;879.0;576.0;0.88;0.58;;
Movistar;Santander Department, Colombia;;mar-18;3488.0;2182.0;all;;median;883.0;37.0;5799.0;981.0;5.8;0.98;;
Movistar;Sucre, Colombia;;mar-18;814.0;421.0;all;;median;330.0;75.0;3935.0;675.0;3.94;0.68;;
Movistar;Tolima, Colombia;;mar-18;8689.0;5299.0;all;;median;2866.0;34.0;4965.0;831.0;4.97;0.83;;
Movistar;Valle del Cauca, Colombia;;mar-18;18189.0;10920.0;all;;median;5657.0;40.0;5643.0;843.0;5.64;0.84;;
Movistar;Guaviare, Colombia;;mar-18;1.0;1.0;all;;median;1.0;10.0;6727.0;7672.0;6.73;7.67;;
Claro;Antioquia, Colombia;;mar-18;87642.0;41174.0;all;;median;22817.0;41.0;9994.0;2276.0;9.99;2.28;;
Claro;Atlantico, Colombia;;mar-18;16405.0;8604.0;all;;median;4586.0;16.0;10579.0;2334.0;10.58;2.33;;
Claro;Bogota, Colombia;;mar-18;277069.0;132953.0;all;;median;73191.0;15.0;10133.0;2145.0;10.13;2.15;;
Claro;Bolivar, Colombia;;mar-18;4741.0;2447.0;all;;median;1658.0;17.0;8846.0;2073.0;8.85;2.07;;
Claro;Boyaca, Colombia;;mar-18;8068.0;3878.0;all;;median;2360.0;21.0;5303.0;1487.0;5.3;1.49;;
Claro;Caldas, Colombia;;mar-18;7497.0;3518.0;all;;median;1848.0;42.0;8075.0;2011.0;8.08;2.01;;
Claro;Caquetá, Colombia;;mar-18;461.0;236.0;all;;median;94.0;32.0;5217.0;1525.0;5.22;1.53;;
Claro;Casanare, Colombia;;mar-18;2563.0;1376.0;all;;median;890.0;20.0;5416.0;1734.0;5.42;1.73;;
Claro;Cauca Department, Colombia;;mar-18;8517.0;3254.0;all;;median;1585.0;61.0;5221.0;1606.0;5.22;1.61;;
Claro;Cesar, Colombia;;mar-18;3163.0;1627.0;all;;median;965.0;32.0;8888.0;2063.0;8.89;2.06;;
Claro;Choco, Colombia;;mar-18;35.0;20.0;all;;median;20.0;50.0;10437.0;4601.0;10.44;4.6;;
Claro;Cordoba, Colombia;;mar-18;2488.0;1383.0;all;;median;811.0;31.0;9184.0;2185.0;9.18;2.19;;
Claro;Cundinamarca, Colombia;;mar-18;70133.0;33866.0;all;;median;20815.0;18.0;8049.0;1992.0;8.05;1.99;;
Claro;Huila, Colombia;;mar-18;10141.0;4804.0;all;;median;2533.0;28.0;5276.0;1502.0;5.28;1.5;;
Claro;La Guajira, Colombia;;mar-18;185.0;99.0;all;;median;91.0;54.0;5222.0;1095.0;5.22;1.1;;
Claro;Magdalena, Colombia;;mar-18;5388.0;2952.0;all;;median;2049.0;40.0;9584.0;2053.0;9.58;2.05;;
Claro;Meta, Colombia;;mar-18;6477.0;3194.0;all;;median;1546.0;21.0;8291.0;2287.0;8.29;2.29;;
Claro;Narino, Colombia;;mar-18;8255.0;3920.0;all;;median;2236.0;66.0;5247.0;1247.0;5.25;1.25;;
Claro;Putumayo, Colombia;;mar-18;8.0;8.0;all;;median;7.0;74.0;4110.0;1768.0;4.11;1.77;;
Claro;Quindio, Colombia;;mar-18;4772.0;2395.0;all;;median;1370.0;47.0;7340.0;1915.0;7.34;1.92;;
Claro;Risaralda, Colombia;;mar-18;11726.0;5508.0;all;;median;2832.0;47.0;8134.0;2074.0;8.13;2.07;;
Claro;San Andrés and Providencia, Colombia;;mar-18;41.0;18.0;all;;median;6.0;157.0;1470.0;834.0;1.47;0.83;;
Claro;Santander Department, Colombia;;mar-18;19712.0;9891.0;all;;median;5559.0;41.0;8629.0;2015.0;8.63;2.02;;
Claro;Sucre, Colombia;;mar-18;941.0;529.0;all;;median;357.0;26.0;7283.0;2056.0;7.28;2.06;;
Claro;Tolima, Colombia;;mar-18;10012.0;4895.0;all;;median;2692.0;18.0;5446.0;1512.0;5.45;1.51;;
Claro;Valle del Cauca, Colombia;;mar-18;79386.0;37578.0;all;;median;19822.0;57.0;7785.0;2011.0;7.79;2.01;;
Claro;Guaviare, Colombia;;mar-18;16.0;7.0;all;;median;2.0;18.0;18376.0;26446.0;18.38;26.45;;
ETB;Antioquia, Colombia;;mar-18;876.0;465.0;all;;median;329.0;24.0;5799.0;2761.0;5.8;2.76;;
ETB;Atlantico, Colombia;;mar-18;193.0;85.0;all;;median;59.0;47.0;2891.0;3697.0;2.89;3.7;;
ETB;Bogota, Colombia;;mar-18;134960.0;76203.0;all;;median;43033.0;10.0;12334.0;7457.0;12.33;7.46;;
ETB;Bolivar, Colombia;;mar-18;6.0;5.0;all;;median;5.0;55.0;2238.0;495.0;2.24;0.5;;
ETB;Boyaca, Colombia;;mar-18;466.0;116.0;all;;median;67.0;23.0;8450.0;7712.0;8.45;7.71;;
ETB;Caldas, Colombia;;mar-18;43.0;29.0;all;;median;9.0;66.0;8248.0;2314.0;8.25;2.31;;
ETB;Cauca Department, Colombia;;mar-18;6.0;5.0;all;;median;3.0;128.0;2853.0;860.0;2.85;0.86;;
