Provider,Location,Device,Aggregate Date,Test Count,Sample Count,Platform,Technology Type,Metric Type,Device Count,Latency,Download Speed,Upload Speed,Download Speed Mbps,Upload Speed Mbps
All Providers Combined,"San Andrés and Providencia, Colombia",,jun-21,1837,284,N/A,cellular,mean,284,129,13526,8239,13.53,8.24
All Providers Combined,"Santander Department, Colombia",,jun-21,5887,1809,N/A,cellular,mean,1809,53,18758,10065,18.76,10.07
All Providers Combined,"Sucre, Colombia",,jun-21,1348,429,N/A,cellular,mean,429,61,17260,8805,17.26,8.81
All Providers Combined,"Tolima, Colombia",,jun-21,3264,896,N/A,cellular,mean,896,46,17822,8255,17.82,8.26
All Providers Combined,"Valle del Cauca, Colombia",,jun-21,12009,4189,N/A,cellular,mean,4189,49,19431,10651,19.43,10.65
All Providers Combined,"Vaupes, Colombia",,jun-21,83,14,N/A,cellular,mean,14,334,725,1951,0.73,1.95
All Providers Combined,"Vichada, Colombia",,jun-21,141,16,N/A,cellular,mean,16,150,2409,4513,2.41,4.51
All Providers Combined,"Guaviare, Colombia",,jun-21,181,52,N/A,cellular,mean,52,128,9481,7497,9.48,7.5
All Providers Combined,"Amazonas, Colombia",,jul-21,52,19,N/A,cellular,mean,19,125,1605,5592,1.61,5.59
All Providers Combined,"Antioquia, Colombia",,jul-21,23387,7592,N/A,cellular,mean,7592,50,19312,10696,19.31,10.7
All Providers Combined,"Arauca, Colombia",,jul-21,398,112,N/A,cellular,mean,112,83,7967,5420,7.97,5.42
All Providers Combined,"Atlantico, Colombia",,jul-21,10296,3587,N/A,cellular,mean,3587,41,21310,12197,21.31,12.2
All Providers Combined,"Bogota, Colombia",,jul-21,50363,18600,N/A,cellular,mean,18600,47,18539,10489,18.54,10.49
All Providers Combined,"Bolivar, Colombia",,jul-21,3678,1228,N/A,cellular,mean,1228,46,20879,9913,20.88,9.91
All Providers Combined,"Boyaca, Colombia",,jul-21,2519,1001,N/A,cellular,mean,1001,56,12479,8545,12.48,8.55
All Providers Combined,"Caldas, Colombia",,jul-21,2199,847,N/A,cellular,mean,847,58,16174,9897,16.17,9.9
All Providers Combined,"Caquetá, Colombia",,jul-21,722,199,N/A,cellular,mean,199,72,12100,7856,12.1,7.86
