Provider;Location;Device;Aggregate Date;Test Count;Sample Count;Platform;Technology Type;Metric Type;User Count;Minimum Latency;Download Speed;Upload Speed;Download Speed Mbps;Upload Speed Mbps
All Providers Combined;Cali, Cali, Valle del Cauca, Colombia;;may-19;124537;68809;all;N/A;median;31716;42;10661;2801;10.66;2.80
All Providers Combined;Medellín, Medellin, Antioquia, Colombia;;may-19;184342;99420;all;N/A;median;55911;24;11127;3357;11.13;3.36
All Providers Combined;Barranquilla, Barranquilla, Atlantico, Colombia;;may-19;70395;39512;all;N/A;median;19727;30;10885;3245;10.89;3.25
All Providers Combined;Cartagena, Cartagena, Bolívar, Colombia;;may-19;28804;16630;all;N/A;median;7124;23;10569;2577;10.57;2.58
All Providers Combined;Villavicencio, Villavicencio, Meta, Colombia;;may-19;12341;7541;all;N/A;median;2974;26;10601;2502;10.60;2.50
All Providers Combined;Ibagué, Ibague, Tolima, Colombia;;may-19;29001;17228;all;N/A;median;7448;32;9670;2314;9.67;2.31
All Providers Combined;Manizales, Manizales, Caldas, Colombia;;may-19;15941;8796;all;N/A;median;4133;32;10686;2727;10.69;2.73
All Providers Combined;Tunja, Tunja, Boyacá, Colombia;;may-19;9034;4966;all;N/A;median;2495;21;10428;2397;10.43;2.40
All Providers Combined;Bucaramanga, Bucaramanga, Santander Department, Colombia;;jun-19;34181;18708;all;N/A;median;9619;35;10810;3033;10.81;3.03
All Providers Combined;Bogotá, Bogota, Colombia;;jun-19;513244;274730;all;N/A;median;140329;24;12797;3557;12.80;3.56
All Providers Combined;Cali, Cali, Valle del Cauca, Colombia;;jun-19;125483;67755;all;N/A;median;31715;42;10625;2712;10.63;2.71
All Providers Combined;Medellín, Medellin, Antioquia, Colombia;;jun-19;165702;87269;all;N/A;median;49343;23;12139;3473;12.14;3.47
All Providers Combined;Barranquilla, Barranquilla, Atlantico, Colombia;;jun-19;78795;43265;all;N/A;median;21928;31;10255;2418;10.26;2.42
All Providers Combined;Cartagena, Cartagena, Bolívar, Colombia;;jun-19;27371;15370;all;N/A;median;7017;22;10491;2401;10.49;2.40
All Providers Combined;Villavicencio, Villavicencio, Meta, Colombia;;jun-19;13523;7941;all;N/A;median;3131;28;10647;2775;10.65;2.78
All Providers Combined;Ibagué, Ibague, Tolima, Colombia;;jun-19;27448;16254;all;N/A;median;7125;32;9232;2041;9.23;2.04
All Providers Combined;Manizales, Manizales, Caldas, Colombia;;jun-19;18286;9456;all;N/A;median;4634;35;10538;2434;10.54;2.43
All Providers Combined;Tunja, Tunja, Boyacá, Colombia;;jun-19;8249;4654;all;N/A;median;2313;21;10314;2283;10.31;2.28
All Providers Combined;Bucaramanga, Bucaramanga, Santander Department, Colombia;;jul-19;29700;8605;all;N/A;median;8605;35;14670;4308;14.67;4.31
All Providers Combined;Bogotá, Bogota, Colombia;;jul-19;608355;160010;all;N/A;median;160010;23;15056;4722;15.06;4.72
All Providers Combined;Cali, Cali, Valle del Cauca, Colombia;;jul-19;134007;32943;all;N/A;median;32943;43;10699;2976;10.70;2.98
All Providers Combined;Medellín, Medellin, Antioquia, Colombia;;jul-19;174051;51711;all;N/A;median;51711;23;13384;4049;13.38;4.05
All Providers Combined;Barranquilla, Barranquilla, Atlantico, Colombia;;jul-19;77660;21421;all;N/A;median;21421;31;10560;2694;10.56;2.69
