Provider,Location,Device,Aggregate Date,Test Count,Sample Count,Platform,Technology Type,Metric Type,Device Count,Latency,Download Speed,Upload Speed,Download Speed Mbps,Upload Speed Mbps
All Providers Combined,"Bucaramanga, Bucaramanga, Santander Department, Colombia",,jun-20,2727,914,N/A,cellular,mean,914,55,17700,8489,17.7,8.49
All Providers Combined,"Tunja, Tunja, Boyacá, Colombia",,jun-20,521,222,N/A,cellular,mean,222,37,18848,10233,18.85,10.23
All Providers Combined,Colombia,,jul-20,148744,46612,N/A,cellular,mean,46612,44,18428,9443,18.43,9.44
All Providers Combined,"Bogotá, Bogota, Colombia",,jul-20,57710,20149,N/A,cellular,mean,20149,37,17994,9800,17.99,9.8
All Providers Combined,"Cali, Cali, Valle del Cauca, Colombia",,jul-20,11339,3628,N/A,cellular,mean,3628,43,21894,11556,21.89,11.56
All Providers Combined,"Manizales, Manizales, Caldas, Colombia",,jul-20,731,371,N/A,cellular,mean,371,45,24213,11670,24.21,11.67
All Providers Combined,"Ibagué, Ibague, Tolima, Colombia",,jul-20,1090,397,N/A,cellular,mean,397,35,21457,9305,21.46,9.31
All Providers Combined,"Armenia, Armenia, Quindio, Colombia",,jul-20,563,229,N/A,cellular,mean,229,47,24052,11983,24.05,11.98
All Providers Combined,"Popayán, Popayán, Cauca, Colombia",,jul-20,483,172,N/A,cellular,mean,172,45,24179,11360,24.18,11.36
All Providers Combined,"Cartagena, Cartagena, Bolívar, Colombia",,jul-20,1859,702,N/A,cellular,mean,702,56,19566,10756,19.57,10.76
All Providers Combined,"Pasto, Pasto, Narino, Colombia",,jul-20,735,222,N/A,cellular,mean,222,50,22592,13275,22.59,13.28
All Providers Combined,"Barranquilla, Barranquilla, Atlantico, Colombia",,jul-20,8648,2419,N/A,cellular,mean,2419,50,19893,10823,19.89,10.82
All Providers Combined,"Santa Marta, Santa Marta, Magdalena, Colombia",,jul-20,535,212,N/A,cellular,mean,212,62,19469,9988,19.47,9.99
All Providers Combined,"Villavicencio, Villavicencio, Meta, Colombia",,jul-20,1164,482,N/A,cellular,mean,482,37,20245,10221,20.25,10.22
All Providers Combined,"Pereira, Pereira, Risaralda, Colombia",,jul-20,846,377,N/A,cellular,mean,377,49,22763,9185,22.76,9.19
All Providers Combined,"Medellín, Medellin, Antioquia, Colombia",,jul-20,8950,4144,N/A,cellular,mean,4144,47,21198,9741,21.2,9.74
All Providers Combined,"Montería, Montería, Córdoba, Colombia",,jul-20,1601,219,N/A,cellular,mean,219,63,18974,11089,18.97,11.09
All Providers Combined,"Sincelejo, Sincelejo, Sucre, Colombia",,jul-20,394,131,N/A,cellular,mean,131,61,19666,10603,19.67,10.6
All Providers Combined,"Bucaramanga, Bucaramanga, Santander Department, Colombia",,jul-20,3428,1045,N/A,cellular,mean,1045,57,16226,8007,16.23,8.01
All Providers Combined,"Tunja, Tunja, Boyacá, Colombia",,jul-20,654,244,N/A,cellular,mean,244,39,18380,10204,18.38,10.2
All Providers Combined,Colombia,,Aug 2020,133391,45293,N/A,cellular,mean,45293,46,18762,9469,18.76,9.47
All Providers Combined,"Bogotá, Bogota, Colombia",,Aug 2020,51875,19173,N/A,cellular,mean,19173,37,18616,9940,18.62,9.94
All Providers Combined,"Cali, Cali, Valle del Cauca, Colombia",,Aug 2020,9654,3416,N/A,cellular,mean,3416,46,20853,11315,20.85,11.32
All Providers Combined,"Manizales, Manizales, Caldas, Colombia",,Aug 2020,852,371,N/A,cellular,mean,371,48,22722,10783,22.72,10.78
All Providers Combined,"Ibagué, Ibague, Tolima, Colombia",,Aug 2020,1042,395,N/A,cellular,mean,395,42,21922,9260,21.92,9.26
All Providers Combined,"Armenia, Armenia, Quindio, Colombia",,Aug 2020,392,203,N/A,cellular,mean,203,46,22529,11366,22.53,11.37
